"","model","npar","AICc","DeltaAICc","weight"
"16","S(~-1 + stratum * PB_time)p(~1)Psi(~-1 + stratum:tostratum * PB_time)",20,31216.3519847648,0,0.707792605605991
"15","S(~-1 + stratum * PB_time)p(~1)Psi(~-1 + stratum:tostratum + PB_time)",14,31218.555969547,2.20398478220523,0.235134744280967
"14","S(~-1 + stratum * PB_time)p(~1)Psi(~-1 + stratum:tostratum)",13,31221.3876369778,5.03565221302051,0.0570726498094845
"13","S(~-1 + stratum * PB_time)p(~1)Psi(~1)",8,31259.4916960243,43.1397112595405,3.03554549169786e-10
"8","S(~-1 + stratum + PB_time)p(~1)Psi(~-1 + stratum:tostratum * PB_time)",18,31282.7891180503,66.4371332854607,2.65012178102104e-15
"7","S(~-1 + stratum + PB_time)p(~1)Psi(~-1 + stratum:tostratum + PB_time)",12,31294.5376860133,78.1857012485161,0
"12","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum * PB_time)",17,31297.3862579724,81.0342732075878,0
"11","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum + PB_time)",11,31308.1021165446,91.7501317797687,0
"6","S(~-1 + stratum + PB_time)p(~1)Psi(~-1 + stratum:tostratum)",11,31313.3921165446,97.0401317797659,0
"10","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum)",10,31325.0609284627,108.708943697904,0
"5","S(~-1 + stratum + PB_time)p(~1)Psi(~1)",6,31357.7209878281,141.369003063264,0
"9","S(~-1 + stratum)p(~1)Psi(~1)",5,31370.664705049,154.312720284161,0
"4","S(~1)p(~1)Psi(~-1 + stratum:tostratum * PB_time)",15,32031.6206838298,815.268699065022,0
"3","S(~1)p(~1)Psi(~-1 + stratum:tostratum + PB_time)",9,32033.9101216589,817.558136894091,0
"2","S(~1)p(~1)Psi(~-1 + stratum:tostratum)",8,32040.3976960243,824.04571125954,0
"1","S(~1)p(~1)Psi(~1)",3,32146.6362815857,930.284296820893,0
