"","estimate","se","lcl","ucl","fixed","note"
"S sA g1 c118 a0 o1 t118",0.7742389,0.01768,0.7377201,0.8070032,"     ","       "
"S sA g1 c118 a115 o116 t233",0.8020748,0.0045162,0.7930738,0.8107777,"     ","       "
"S sB g1 c118 a0 o1 t118",0.8289312,0.010946,0.8063986,0.8493312,"     ","       "
"S sB g1 c118 a115 o116 t233",0.8016772,0.0054427,0.7907932,0.8121295,"     ","       "
"S sC g1 c118 a0 o1 t118",0.6584891,0.0461729,0.5631948,0.7424991,"     ","       "
"S sC g1 c118 a115 o116 t233",0.1136783,0.0207302,0.0789301,0.1610491,"     ","       "
"p sA g1 c118 a1 o1 t119",0.2437745,0.0040596,0.2359059,0.2518191,"     ","       "
"Psi sA toB g1 c118 a0 o1 t118",0.0446476,0.0108514,0.0276011,0.0714485,"     ","       "
"Psi sA toB g1 c118 a115 o116 t233",0.0100601,0.001383,0.0076813,0.0131659,"     ","       "
"Psi sA toC g1 c118 a0 o1 t118",0.0036007,0.0036245,0.0004986333,0.0255081,"     ","       "
"Psi sA toC g1 c118 a115 o116 t233",0.0036744,0.0013344,0.0018019,0.0074783,"     ","       "
"Psi sB toA g1 c118 a0 o1 t118",0.0169618,0.0050245,0.0094682,0.0302053,"     ","       "
"Psi sB toA g1 c118 a115 o116 t233",0.0157787,0.0020207,0.0122703,0.0202696,"     ","       "
"Psi sB toC g1 c118 a0 o1 t118",0.0068562,0.0034822,0.0025273,0.0184625,"     ","       "
"Psi sB toC g1 c118 a115 o116 t233",0.0071217,0.0021377,0.0039503,0.0128064,"     ","       "
"Psi sC toA g1 c118 a0 o1 t118",0.0569863,0.0284052,0.0209944,0.1455102,"     ","       "
"Psi sC toA g1 c118 a115 o116 t233",0.0292389,0.0309276,0.0035466,0.2031153,"     ","       "
"Psi sC toB g1 c118 a0 o1 t118",0.0321406,0.0218032,0.0083366,0.1159646,"     ","       "
"Psi sC toB g1 c118 a115 o116 t233",0.05913,0.0391215,0.0155912,0.1995996,"     ","       "
